27 1 0 13.4 22 3 6 10 7 4 5 9 11 2 5 10 30 3 6 9 8 4 5 9 23 3 6 10 3 4 6 9 9 3 5 9 26 3 7 10 18 3 7 10 32 3 6 9 14 3 6 10 13 3 7 9 25 3 7 9 27 3 7 11 10 2 7 11 17 3 6 10 15 3 6 10 6 4 5 9 29 3 6 10 5 4 5 9 12 3 5 9 28 3 6 10 2 3 5 9 1 4 7 9 31 3 7 10 4 4 6 9 24 3 6 10 16 3 7 9 21 3 7 9 20 3 7 11 19 3 7 11
35 1 0 24.41 17 3 6 9 5 3 6 10 11 3 6 10 19 2 5 10 29 3 6 9 1 4 6 9 32 2 5 10 31 2 6 10 3 3 7 11 20 3 7 9 13 3 7 9 9 3 7 9 15 3 6 9 12 3 7 9 24 3 7 11 30 2 7 11 8 4 6 9 18 3 6 10 4 3 6 10 14 2 5 10 22 3 6 9 6 3 6 9 2 3 6 9 23 2 5 10 7 3 7 11 28 3 7 9 10 3 7 9 16 3 6 9 26 3 7 9 25 3 7 9 27 3 7 11 21 2 7 11
30 0 0 7.61 4 3 6 10 13 3 6 10 9 3 6 10 12 3 6 10 30 3 6 9 20 3 6 10 19 3 6 10 26 3 6 10 31 3 7 9 17 3 7 10 7 3 7 10 6 3 7 10 23 3 7 10 8 3 7 10 21 3 7 11 5 3 7 11 2 3 6 9 22 3 6 10 14 3 6 10 27 3 6 10 32 3 6 9 18 3 6 10 3 3 6 10 10 3 6 10 16 3 7 10 29 3 7 9 1 4 6 10 11 3 7 10 25 3 7 10 24 3 7 10 28 3 7 11 15 3 7 11
30 0 0 5.23 10 4 5 9 26 4 5 9 31 1 5 9 24 1 5 9 1 4 5 9 15 1 5 9 32 1 5 9 19 1 5 9 23 4 5 9 29 1 5 9 14 1 5 9 4 1 5 9 11 4 5 9 28 4 5 9 16 1 5 9 20 1 5 9 17 4 5 9 25 4 5 9 3 1 5 9 21 1 5 9 8 4 5 9 12 1 5 9 22 1 5 9 6 1 5 9 9 4 5 9 5 4 5 9 13 1 5 9 18 1 5 9 27 4 5 9 30 1 5 9 7 1 5 9 2 1 5 9
37 0 0 10.38 31 4 5 9 4 4 5 9 25 4 5 9 24 4 5 9 28 4 5 9 10 4 5 9 3 4 5 9 2 4 5 9 29 4 8 9 20 4 8 9 8 4 8 9 9 4 8 9 5 4 8 9 18 4 8 9 21 4 8 12 17 4 8 12 1 4 5 9 22 4 5 9 15 4 5 9 13 4 5 9 14 4 5 9 26 4 5 9 23 4 5 9 19 4 5 9 27 4 8 9 12 4 8 9 6 4 8 9 16 4 8 9 30 4 8 9 7 4 8 9 11 4 8 12 32 4 8 12
43 0 0 15.13 3 2 7 11 12 2 7 11 28 1 5 11 25 1 5 12 10 2 6 10 7 2 6 10 13 2 6 11 23 1 5 11 16 2 6 10 19 3 6 10 32 3 7 10 11 2 6 11 20 3 6 10 5 4 6 9 6 3 6 9 14 2 7 11 2 2 6 11 17 3 7 10 9 2 6 11 1 2 6 11 26 4 6 9 24 3 6 10 31 2 6 11 29 1 5 11 21 3 6 10 8 3 7 10 18 2 6 10 4 1 5 10 22 4 7 9 15 3 6 10 30 3 6 10 27 3 7 10
33 0 0 15975106.95 13 4 7 9 18 2 6 11 2 2 5 10 30 1 5 10 16 3 6 9 22 2 5 10 21 2 6 10 4 1 5 11 23 3 6 9 11 3 5 9 26 2 6 10 12 1 5 9 25 3 6 9 1 3 7 10 15 2 6 10 20 1 5 10 29 4 7 10 14 2 6 10 5 2 5 10 27 1 5 10 28 3 6 10 3 3 5 9 8 2 5 9 10 2 5 10 56 3 6 9 19 3 7 9 17 2 5 9 24 1 5 9 7 4 6 9 31 4 6 9 9 2 6 10 6 2 6 10
43 0 0 16.92 7 4 7 10 31 3 6 10 19 2 5 10 26 1 5 10 29 4 5 9 14 3 5 9 22 2 5 9 10 1 5 10 32 4 6 9 9 2 5 9 30 3 6 9 27 1 5 9 23 4 7 9 16 3 7 9 21 3 6 9 5 2 6 10 4 3 7 10 18 3 6 10 1 2 6 11 15 2 5 11 20 4 5 9 28 4 5 9 3 2 6 11 2 2 6 10 25 4 6 9 13 3 6 9 11 2 5 9 17 1 5 9 12 4 6 9 6 2 6 10 8 2 6 10 24 2 6 10
23 0 0 15.11 20 4 8 11 17 2 7 11 21 2 5 11 25 1 5 10 11 4 5 9 19 2 5 10 7 2 5 11 30 1 5 9 27 1 5 9 10 2 5 9 2 2 5 9 15 1 5 9 29 1 5 9 9 2 5 9 28 2 5 10 16 1 5 10 5 3 8 11 1 2 7 12 24 1 5 10 12 1 5 11 6 4 5 9 8 2 5 10 31 2 5 10 3 1 5 10 14 1 5 9 18 2 5 9 23 1 5 9 22 1 5 9 32 4 5 9 26 2 5 9 13 2 5 10 4 1 5 10
37 0 0 18.52 29 3 6 10 24 3 6 10 2 1 5 11 25 1 5 11 16 2 5 10 17 3 5 9 11 1 5 12 31 1 5 11 14 3 6 9 26 4 5 9 15 3 6 10 3 1 5 9 18 3 6 9 8 3 6 9 13 2 6 10 21 1 5 11 28 4 6 10 23 1 5 10 30 1 5 10 9 1 5 11 22 3 5 9 5 1 5 10 20 2 5 9 1 1 5 11 19 3 6 9 27 4 6 9 7 3 6 9 10 1 5 10 32 4 5 9 6 3 6 9 12 2 6 10 4 2 6 10
